bss,x,y,geometry,dpt,prof,alt,masse_eau,codes_bdlisa,CodeEH,InclusEH,EtatEH,NatureEH,MilieuEH,ThemeEH,OrigineEH
06216X0228/P30-10,3.401730034,46.272865132,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [3.40173003436263, 46.2728651316311]}",03,8.0,237.2,"[""Alluvions de l'Allier aval""]",932AR01,932AR01,932AR,2,5.0,1,1.0,1.0
05373X0546/5410,-0.879629392,47.059019177,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-0.8796293918456486, 47.059019177278294]}",49,23.4,106.0,['Bassin versant de la Sèvre Nantaise'],181AE01,181AE01,181AE,2,6.0,2,3.0,1.0
01193X0168/FEA10,-0.488170672,49.295509548,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-0.48817067203293, 49.2955095476803]}",14,30.0,13.4,,,,,,,,,
10396X0083/SA10,3.022001239,43.209045961,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [3.02200123910721, 43.2090459611036]}",11,19.3,5.33,,,,,,,,,
07372X0048/F10,1.538653482,45.529763866,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [1.53865348236873, 45.5297638657094]}",19,138.0,396.0,,372AG03,372AG03,372AG,2,6.0,2,3.0,1.0
09765X0157/R10,-1.440230741,43.574994026,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-1.44023074064491, 43.5749940255594]}",40,31.0,5.0,,,,,,,,,
10197X0554/PZ10,4.928758254,43.455078939,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [4.9287582535072, 43.4550789389769]}",13,17.7,4.25,,561AF00,561AF00,561AF,2,5.0,1,2.0,2.0
05986X0103/P16-20,3.331889331,46.499250807,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [3.33188933064519, 46.4992508072316]}",03,11.41,213.12,"[""Alluvions de l'Allier aval""]",932AR01,932AR01,932AR,2,5.0,1,1.0,1.0
07004X0046/D6-20,5.748240913,45.828148377,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [5.74824091305697, 45.8281483770952]}",01,20.0,232.0,['Alluvions Rhône marais de Chautagne et de Lavours'],712AH37,712AH37,712AH,2,5.0,1,1.0,1.0
08081X0026/SE.20,1.148944586,44.923232442,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [1.14894458649071, 44.9232324420548]}",24,87.0,154.0,,348AA01,348AA01,348AA,1,5.0,8,2.0,1.0
