,val_loss,test_loss,best_model_at_test,runtime_in_sec
10402X0177/JOURDA,0.10511134564876556,0.2606714367866516,conv,104.36483788490295
09654X0569/CNRP20,0.1636616587638855,0.17564164102077484,lstm,79.72060513496399
02581X0104/P18,0.3188382685184479,0.09699684381484985,lstm,71.79269504547119
02913X0024/P,1.6163846254348755,0.5959915518760681,conv,88.5780816078186
00182X0031/P,0.5566136837005615,0.6283261179924011,lstm,58.37566304206848
06101X0202/SP1,0.619508683681488,0.09843449294567108,conv,97.35024523735046
07106X0517/PZ1,58892.7578125,0.5927754044532776,lstm,92.52105617523193
07072X0065/F,1.8985412120819092,1.736360788345337,lstm,68.66954112052917
08022X0010/SP3,0.14588022232055664,0.10808710753917694,lstm,76.69107699394226
07662X0279/P45B02,1.0810574293136597,0.11316590756177902,lstm,119.4395980834961
09388X0052/VIGNOT,0.6937850713729858,0.8233336806297302,conv,72.8349199295044
